"Story","Title","Result","Date","Stability","Duration (s)"
"Posts CRUD test","Create a new post for the user","SUCCESS","2023-01-10T19:37:13.013Z[Europe/London]","0.0","12.52"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T19:37:21.647Z[Europe/London]","0.0","0.39"
"Users data driven test","Data Driven test for adding multiple bookings to the application","SUCCESS","2023-01-10T19:37:23.961Z[Europe/London]","0.0","257.86"
"Posts CRUD test","Verify that post was added for the user","SUCCESS","2023-01-10T19:37:25.625Z[Europe/London]","0.0","0.58"
"Posts CRUD test","Update the post title","SUCCESS","2023-01-10T19:37:26.201Z[Europe/London]","0.0","0.46"
"Posts CRUD test","Delete the post","SUCCESS","2023-01-10T19:37:26.661Z[Europe/London]","0.0","0.8"
"Users CRUD test","Create a new User","SUCCESS","2023-01-10T19:37:28.612Z[Europe/London]","0.0","0.43"
"Users CRUD test","Verify that user added successfully","SUCCESS","2023-01-10T19:37:29.049Z[Europe/London]","0.0","0.47"
"Users CRUD test","Update user details","SUCCESS","2023-01-10T19:37:29.516Z[Europe/London]","0.0","0.46"
"Users CRUD test","Delete the user","SUCCESS","2023-01-10T19:37:29.979Z[Europe/London]","0.0","1.05"
"Testing different request on the gorest app","As a user I update a user with name","SUCCESS","2023-01-10T19:37:35.172Z[Europe/London]","0.0","0.42"
"Testing different request on the gorest app","As a user I delete a user","SUCCESS","2023-01-10T19:37:35.671Z[Europe/London]","0.0","0.72"
"Testing different request on the gorest app","As a user I am creating new users","SUCCESS","2023-01-10T19:37:36.436Z[Europe/London]","0.0","7.0"
